ID	Statement	StatementType
1313870836	how are you?	True
1490121487	what are you doing?	True
1727484282	how about you?	True
1720354813	wanna go out?	True
1017624195	want to get food?	True
1487993188	want to do something?	True
169043226	want to come over?	True
478537152	im going to get food want to come?	True
434612933	im going out want to come?	True
1911271720	we should get something, what do you want?	True
1829997135	where do you want to go next?	True
819813022	that was fun, what should we do now?	True
602620204	what do i want for dinner?	True
1792246732	what should i get for him?	True
1766979426	what do i want to do?	True
64159998	what should we do next weekend?	True
534722245	want to get some drinks? im pretty thirsty lol.	True
1170844160	that was awesome. want to go again?	True
191245553	want to go out again?	True
965652176	want to hook up?	True
663424990	last night was fun. can i see you again tonight?	True
1802143136	we should hang out more. want to come over later?	True
120868779	want to hang out later tonight?	True
1372608079	that was a good movie. what should we watch now?	True
252946155	hows it going today?	True
1527729958	how are you babe?	True
41030357	how was that?	True
1012614063	did you like that?	True
1942904613	can i see that?	True
707728562	where did you get that?	True
1167354539	wtf?	True
996136027	what the fuck?	True
1504244380	tf?	True
2045506204	where in the hell did you hear that?	True
1942226533	where did you find that?	True
775667022	whats in your mouth?	True
750247635	are you retarded?	True
861025436	can i see that again please?	True
1624274283	pleassseee	True
220399516	please	True
1120582157	please?	True
192852125	where is my cab?	True
1014429757	what day is it?	True
1941365394	what month is it?	True
1392077372	what year is it?	True
1109667740	i didnt catch that could you repeat it?	True
1215346667	can you say that again?	True
1998363883	what the hell was in that?	True
1206624162	what was in that?	True
735336417	can you stop?	True
1319633491	can you go away?	True
594665847	why dont you listen?	True
1047175227	why are you rude?	True
406780590	why are you upset?	True
354578473	what are you so happy about?	True
1071323246	want to see somthing really cool?	True
781364607	want to see that next?	True
1914471749	want to go there next?	True
879520557	want to take the bus?	True
1049489783	want to drive?	True
859074730	can i drive?	True
716024709	do you have a car?	True
95228085	do you have a license?	True
1286479917	where are you from?	True
156029080	where did you come from?	True
245973007	what language is that?	True
875164188	what area is that in?	True
116709546	where did you grow up?	True
1409615745	did you say something?	True
403424303	can you hear that?	True
873507909	did you hear the news?	True
1233292355	did you see that episode?	True
1106165423	wow, why would you do that?	True
1530441583	how do you do?	True
1404665565	how are you this week?	True
2030168411	what was your name?	True
199825278	what is your name?	True
1886582578	and you are?	True
1540126253	why did you come here instead?	True
702873961	why not go there instead?	True
1871978837	that was interesting wasnt it?	True
245600881	that was cool	False
1447564094	this is sweet	False
744084810	you are pretty cool	False
308486418	do it again	False
2106056642	lets go again	False
1013976970	lets do it again	False
1576066582	im not to sure	False
1405679751	cant be to careful	False
1727144412	cant be to sure	False
1409375475	that was interesting	False
1541161497	sweet	False
528771761	not much	False
496662705	nm	False
47739130	cool cool	False
871167763	that was cool	False
1953363929	that movie was awesome	False
926396849	i didnt see that movie	False
1726750654	that movie was bad	False
245951502	i didnt care for that	False
1360072389	i dont like that	False
1708325071	i dont want to go out today	False
859919822	i cant help with that	False
1552491918	i dont want to help you with that	False
1073134291	someone should tell them to stop	False
451610278	we should talk to them	False
1511878022	should go over there	False
1142480402	im going to the bathroom	False
2048225675	im going to my room	False
699648551	im going to the store	False
950036729	i need to go to the mall	False
62011678	i need some booze	False
102605491	lol	False
1630617279	lmfao	False
166401078	rofl	False
657354881	lmao	False
134248224	omg	False
119291435	wow	False
1438557296	nice	False
1756947092	awesome	False
303074223	stupid	False
1248816760	that was stupid	False
741378197	that was rude	False
415405396	i want to go out to the mall today	False
234372433	i need to get groceries	False
2034154817	we should go to the store	False
79838531	we should get some food	False
1255328622	we should try that new restaurant	False
2027638332	i wouldnt go over there	False
703630457	i wouldnt go in there	False
1503267750	thats a lie	False
1738583127	i dont like you	False
890744335	i dont like that	False
1707746379	fuck that	False
1704373820	youre a cunt	False
1706055185	fuck you	False
945276605	bitch	False
1454667722	cunt	False
1230546065	pussy	False
1416471686	screw that	False
6290519	screw it	False
1431092114	fuck it	False
1087436453	asshole	False
118143099	im making dinner	False
189219582	im making food	False
759475696	i just ordered dinner	False
850667905	i just made dinner	False
457750028	i just made supper	False
1889857173	i just finished the dishes	False
949979795	just making something to eat	False
149031438	just doing laundry	False