ID	Statement	Question	QuestionType	StatementType	SentimentType
213734212	Maybe	False	N/A	command	love
674194238	Maybe	False	N/A	command	love
644924835	Its alive	False	N/A	statement	mean
1251769068	im developing the first skip the dishes type app for cannabis	False	N/A	command	sad
2054558328	Its alive	False	N/A	statement	mean
1369921035	Sup	False	N/A	command	neutral
614375372	Sup	False	N/A	command	neutral
1791661213	lol	False	N/A	command	nice
960785183	Mother fucker I wanna job rolling blunts for $50k a year.	False	N/A	exclamation	angry
1655255456	Mother fucker I wanna job rolling blunts for $50k a year.	False	N/A	exclamation	angry
368601381	Cody sent a link.	False	N/A	command	neutral
553955940	Cody sent a link.	False	N/A	command	neutral
1012724745	Maybe	False	N/A	command	love
1970172867	Its alive	False	N/A	statement	mean
479361538	Get to work lol	False	N/A	command	mean
1717190844	Sup	False	N/A	command	neutral
2093403370	Get to work lol	False	N/A	command	mean
1636559952	Wuts up	False	N/A	statement	neutral
1281757376	Mother fucker I wanna job rolling blunts for $50k a year.	False	N/A	exclamation	angry
389255525	Wuts up	False	N/A	statement	neutral
1017265057	Cody sent a link.	False	N/A	command	neutral
1438586654	The garlic dill pickles	False	N/A	statement	angry
19636154	The garlic dill pickles	False	N/A	statement	angry
478927704	Bacon pickle turkey sandwiches	False	N/A	command	racist
465423747	Bacon pickle turkey sandwiches	False	N/A	command	racist
266183622	Lol	False	N/A	command	nice
257552921	Get to work lol	False	N/A	command	mean
1383523361	Lol	False	N/A	command	nice
2144278608	llol its soo good	False	N/A	exclamation	mean
1548577155	Wuts up	False	N/A	statement	neutral
1819102124	llol its soo good	False	N/A	exclamation	mean
313323473	Eating more turkey lol	False	N/A	command	happy
1170711692	The garlic dill pickles	False	N/A	statement	angry
1034036985	Eating more turkey lol	False	N/A	command	happy
655816245	Its alright lol	False	N/A	statement	mean
1657982537	Bacon pickle turkey sandwiches	False	N/A	command	racist
618993336	Its alright lol	False	N/A	statement	mean
1013248633	how was your weekend?	True	special	N/A	angry
1333319885	Lol	False	N/A	command	nice
1373539252	how was your weekend?	True	special	N/A	angry
855105785	llol its soo good	False	N/A	exclamation	mean
1841899785	Jesus	False	N/A	command	disgust
577368906	Jesus	False	N/A	command	disgust
344581508	Eating more turkey lol	False	N/A	command	happy
2023136751	lol had dinner earlier. now i have a weeks worth of work to do in 9ish hours xD	False	N/A	exclamation	happy
781385674	lol had dinner earlier. now i have a weeks worth of work to do in 9ish hours xD	False	N/A	exclamation	happy
1452182955	Go get the turkey lol	False	N/A	command	love
343229234	Its alright lol	False	N/A	statement	mean
548411734	Go get the turkey lol	False	N/A	command	love
1708879013	Cody sent an attachment.	False	N/A	command	neutral
166058635	how was your weekend?	True	special	N/A	angry
878976073	Cody sent an attachment.	False	N/A	command	neutral
747950405	What you doing ?	True	special	N/A	sad
624013207	What you doing ?	True	special	N/A	sad
1578378942	Jesus	False	N/A	command	disgust
1662765700	Cody sent an attachment.	False	N/A	command	neutral
2025784434	Cody sent an attachment.	False	N/A	command	neutral
837482604	lol had dinner earlier. now i have a weeks worth of work to do in 9ish hours xD	False	N/A	exclamation	happy
515839390	Thats how it goes	False	N/A	statement	neutral
652089723	Thats how it goes	False	N/A	statement	neutral
1140661174	Go get the turkey lol	False	N/A	command	love
722101484	Bongs ? Lol	False	N/A	command	love
1244224521	Bongs ? Lol	False	N/A	command	love
493871498	Cody sent an attachment.	False	N/A	command	neutral
1105542300	What you doing ?	True	special	N/A	sad
873814847	Cody sent an attachment.	False	N/A	command	neutral
1840263235	Time	False	N/A	command	nice
600417918	Time	False	N/A	command	nice
1319433631	Stoner tome	False	N/A	command	sad
356250416	Thats how it goes	False	N/A	statement	neutral
82498606	Stoner tome	False	N/A	command	sad
1753044796	Bongs ? Lol	False	N/A	command	love
1904974164	Just chilling at home	False	N/A	command	neutral
89824430	Just chilling at home	False	N/A	command	neutral
480598927	Oh cant really get in any lol	True	special	N/A	disgust
61244791	Oh cant really get in any lol	True	special	N/A	disgust
1656309914	trying lol. you?	True	disjunctive	N/A	neutral
681591687	Time	False	N/A	command	nice
1494672358	trying lol. you?	True	disjunctive	N/A	neutral
65055008	Stayin outta shit?	True	choice	N/A	sad
1171544935	Stoner tome	False	N/A	command	sad
425414776	Stayin outta shit?	True	choice	N/A	sad
1661847501	Ah	False	N/A	command	love
1195500162	Just chilling at home	False	N/A	command	neutral
357329286	Ah	False	N/A	command	love
2046276117	hmm, im trying to find a way around something, but it might be a cunt	False	N/A	command	happy
2134429342	Oh cant really get in any lol	True	special	N/A	disgust
2056890991	hmm, im trying to find a way around something, but it might be a cunt	False	N/A	command	happy
1704795217	so its possible	False	N/A	statement	disgust
317203146	trying lol. you?	True	disjunctive	N/A	neutral
2081240299	so its possible	False	N/A	statement	disgust
1659648900	Under the indian act  any reserve is the jurisdiction of the RCMP	False	N/A	command	happy
1078559972	Stayin outta shit?	True	choice	N/A	sad
1893256728	Under the indian act  any reserve is the jurisdiction of the RCMP	False	N/A	command	happy
528523319	if i hosted a server on the rez could the police seize it?	True	general	N/A	love
1463989492	if i hosted a server on the rez could the police seize it?	True	general	N/A	love
1970816409	Ah	False	N/A	command	love
763620558	Hows the weekend treating you	True	general	N/A	love
1678513392	Hows the weekend treating you	True	general	N/A	love
89251848	hmm, im trying to find a way around something, but it might be a cunt	False	N/A	command	happy
149096922	Sup dude	False	N/A	command	neutral
381990683	Sup dude	False	N/A	command	neutral
921276682	so its possible	False	N/A	statement	disgust
129612154	And going for medicine tomorrow	False	N/A	command	sad
371149252	what is going on my friend?	True	special	N/A	neutral
1842537410	really cool chick when shes having a good day, but fuck that bipolar is bad.	False	N/A	exclamation	neutral
918975071	Oh god	False	N/A	command	nice
1602906758	im hoping not, but you know how fucked i can be? shes a bit worse xD if thats possible.	True	disjunctive	N/A	happy
1482578148	Lol all good! I doubt she will msg me	False	N/A	statement	angry
807371697	really cool chick when shes having a good day, but fuck that bipolar is bad.	False	N/A	exclamation	neutral
71188556	really cool chick when shes having a good day, but fuck that bipolar is bad.	False	N/A	exclamation	neutral
1322981781	Oh god	False	N/A	command	nice
471937091	Haha awesome!	False	N/A	command	nice
2003723752	Oh god	False	N/A	command	nice
878701105	im hoping not, but you know how fucked i can be? shes a bit worse xD if thats possible.	True	disjunctive	N/A	happy
1761720765	we did. she made balloon "animals"	False	N/A	statement	love
1929069042	im hoping not, but you know how fucked i can be? shes a bit worse xD if thats possible.	True	disjunctive	N/A	happy
2080872041	Lol all good! I doubt she will msg me	False	N/A	statement	angry
519546091	no worries thank you lol	True	general	N/A	love
645463688	Lol all good! I doubt she will msg me	False	N/A	statement	angry
102353548	sounds good ill get her ready to go.	False	N/A	command	neutral
1249026111	Haha awesome!	False	N/A	command	nice
1108180146	we did. she made balloon "animals"	False	N/A	statement	love
483034163	Haha awesome!	False	N/A	command	nice
1853965649	Already out driving	False	N/A	command	angry
1654172258	we did. she made balloon "animals"	False	N/A	statement	love
1551656162	no worries thank you lol	True	general	N/A	love
1598606318	10 minutes	False	N/A	command	racist
2100837752	no worries thank you lol	True	general	N/A	love
1417790576	cool cool. how long?	False	N/A	command	neutral
1425742352	Hope you guys had fun	True	general	N/A	disgust
2053755097	Hope you guys had fun	True	general	N/A	disgust
480576697	Thank you !!	True	general	N/A	love
1497266467	Were going to come get her	True	choice	N/A	sad
1907493931	Thank you !!	True	general	N/A	love
513046147	sounds good ill get her ready to go.	False	N/A	command	neutral
339545632	Okay	False	N/A	command	neutral
1622496909	sounds good ill get her ready to go.	False	N/A	command	neutral
1904606446	lol	False	N/A	command	nice
1933816354	Already out driving	False	N/A	command	angry
148272349	Already out driving	False	N/A	command	angry
1891597281	10 minutes	False	N/A	command	racist
385233913	yaa	False	N/A	command	neutral
342499331	10 minutes	False	N/A	command	racist
363135532	cool cool. how long?	False	N/A	command	neutral
615836083	106 dundas east. but pull into the lawyers	False	N/A	command	angry
616509897	Were going to come get her	True	choice	N/A	sad
1658033939	cool cool. how long?	False	N/A	command	neutral
668889564	By the lawyer place	False	N/A	command	love
898653592	Okay	False	N/A	command	neutral
59701918	Were going to come get her	True	choice	N/A	sad
1732531845	On Dundas ?	False	N/A	command	neutral
403056654	lol	False	N/A	command	nice
1650704311	Where would that be ?	False	N/A	command	neutral
1541110384	Okay	False	N/A	command	neutral
1805457328	yaa	False	N/A	command	neutral
1202910556	my place	False	N/A	command	love
1842590137	lol	False	N/A	command	nice
2107143917	106 dundas east. but pull into the lawyers	False	N/A	command	angry
1986012960	Where are you and Ava	True	special	N/A	happy
963307844	yaa	False	N/A	command	neutral
611909176	By the lawyer place	False	N/A	command	love
963132228	Lmao!	False	N/A	command	love
1444994002	106 dundas east. but pull into the lawyers	False	N/A	command	angry
872564041	On Dundas ?	False	N/A	command	neutral
1082118042	lol to late xD	False	N/A	command	sad
2056492938	By the lawyer place	False	N/A	command	love
1238219528	Where would that be ?	False	N/A	command	neutral
1041268124	Another day would work best	False	N/A	command	love
721189830	On Dundas ?	False	N/A	command	neutral
890429380	my place	False	N/A	command	love
1904913461	Were moving	False	N/A	command	love
628114583	Where would that be ?	False	N/A	command	neutral
907223782	Where are you and Ava	True	special	N/A	happy
1183309789	its a pa day today right? mind if i take ava out?	False	N/A	statement	mean
2040924394	my place	False	N/A	command	love
1704448165	Lmao!	False	N/A	command	love
954233134	Where are you and Ava	True	special	N/A	happy
1903310302	lmfao also what school is ava going to again?	True	choice	N/A	nice
29259780	Lmao!	False	N/A	command	love
1545449910	lol to late xD	False	N/A	command	sad
25783514	Hahahah me neither	False	N/A	statement	love
693058645	Another day would work best	False	N/A	command	love
2059319475	lol to late xD	False	N/A	command	sad
1315739607	so random thought. if this period syncing thing is true, i do not envy future mike. lmfao.	False	N/A	exclamation	nice
1096626566	Another day would work best	False	N/A	command	love
1475683508	Were moving	False	N/A	command	love
1701784269	has booboo seen frozen 2 yet?	True	special	N/A	love
1008883004	its a pa day today right? mind if i take ava out?	False	N/A	statement	mean
2130708284	Were moving	False	N/A	command	love
579470299	cool cool thank you. if this works i never have to talk to my family again xD	False	N/A	exclamation	love
209813068	lmfao also what school is ava going to again?	True	choice	N/A	nice
1838897382	its a pa day today right? mind if i take ava out?	False	N/A	statement	mean
1253074862	Thats fine	False	N/A	statement	disgust
1375047454	Hahahah me neither	False	N/A	statement	love
2060464627	lmfao also what school is ava going to again?	True	choice	N/A	nice
1079641217	Okay	False	N/A	command	neutral
1413531880	so random thought. if this period syncing thing is true, i do not envy future mike. lmfao.	False	N/A	exclamation	nice
469739999	Hahahah me neither	False	N/A	statement	love
2009156847	sounds good ill get her ready to go.	False	N/A	command	neutral
367479177	Haha awesome!	False	N/A	command	nice
25536023	Haha awesome!	False	N/A	command	nice
1498427187	we did. she made balloon "animals"	False	N/A	statement	love
1594297579	Already out driving	False	N/A	command	angry
2104021623	we did. she made balloon "animals"	False	N/A	statement	love
1832407788	no worries thank you lol	True	general	N/A	love
164360050	10 minutes	False	N/A	command	racist
1158820068	Hope you guys had fun	True	general	N/A	disgust
381209382	cool cool. how long?	False	N/A	command	neutral
1056864451	no worries thank you lol	True	general	N/A	love
2026133186	Thank you !!	True	general	N/A	love
6882537	Were going to come get her	True	choice	N/A	sad
1868646527	Hope you guys had fun	True	general	N/A	disgust
19280424	sounds good ill get her ready to go.	False	N/A	command	neutral
1088991833	Okay	False	N/A	command	neutral
1174669462	Thank you !!	True	general	N/A	love
576868314	Already out driving	False	N/A	command	angry
870361637	lol	False	N/A	command	nice
8719203	sounds good ill get her ready to go.	False	N/A	command	neutral
1507275120	yaa	False	N/A	command	neutral
2127966658	10 minutes	False	N/A	command	racist
689500584	Already out driving	False	N/A	command	angry
795874474	106 dundas east. but pull into the lawyers	False	N/A	command	angry
1470145515	cool cool. how long?	False	N/A	command	neutral
3753505	10 minutes	False	N/A	command	racist
1204972962	By the lawyer place	False	N/A	command	love
258426373	Were going to come get her	True	choice	N/A	sad
599087685	cool cool. how long?	False	N/A	command	neutral
637171283	On Dundas ?	False	N/A	command	neutral
2117200043	Were going to come get her	True	choice	N/A	sad
147568469	Okay	False	N/A	command	neutral
977688453	Where would that be ?	False	N/A	command	neutral
583355638	lol	False	N/A	command	nice
549399982	Okay	False	N/A	command	neutral
1547074688	my place	False	N/A	command	love
1446608654	lol	False	N/A	command	nice
1789023552	yaa	False	N/A	command	neutral
1990599450	Where are you and Ava	True	special	N/A	happy
1386277202	yaa	False	N/A	command	neutral
671024930	106 dundas east. but pull into the lawyers	False	N/A	command	angry
1949525629	Lmao!	False	N/A	command	love
1820451758	106 dundas east. but pull into the lawyers	False	N/A	command	angry
1034958543	By the lawyer place	False	N/A	command	love
1355076494	lol to late xD	False	N/A	command	sad
560078891	By the lawyer place	False	N/A	command	love
1888083976	On Dundas ?	False	N/A	command	neutral
989186315	Another day would work best	False	N/A	command	love
1618095898	On Dundas ?	False	N/A	command	neutral
1498268767	Where would that be ?	False	N/A	command	neutral
1429203677	Were moving	False	N/A	command	love
445360840	Where would that be ?	False	N/A	command	neutral
1235785504	my place	False	N/A	command	love
909350318	its a pa day today right? mind if i take ava out?	False	N/A	statement	mean
1613832213	Where are you and Ava	True	special	N/A	happy
437668581	lmfao also what school is ava going to again?	True	choice	N/A	nice
1490423254	Where are you and Ava	True	special	N/A	happy
1754534019	Lmao!	False	N/A	command	love
1724070195	Hahahah me neither	False	N/A	statement	love
1111425139	Lmao!	False	N/A	command	love
852915281	lol to late xD	False	N/A	command	sad
2145088789	Np	False	N/A	command	love
866660319	Bit soon but yaa.	False	N/A	exclamation	neutral
1415356785	Np	False	N/A	command	love
1388702531	Thank you !	True	general	N/A	love
1808001915	Lmfao totally forgot it was ur bday. Happy birthday xD	False	N/A	exclamation	nice
1635764633	Thank you !	True	general	N/A	love
1037649541	It's not much just what I could afford today, I sent you some money though.	True	general	N/A	love
1356708085	She ate dinner just going to catch bus	False	N/A	command	sad
30178094	It's not much just what I could afford today, I sent you some money though.	True	general	N/A	love
528130405	Thank you.	False	N/A	statement	happy
837382223	Ok I'm gonna bring her home.	False	N/A	command	happy
1291827131	Thank you.	False	N/A	statement	happy
653633039	Time, actions that prove the words	False	N/A	command	love
953212809		False	N/A	command	love
326947788	Time, actions that prove the words	False	N/A	command	love
1927710962	Bit soon but yaa.	False	N/A	exclamation	neutral
687884873	I'm gonna grab booboo soon.	False	N/A	exclamation	mean
1885569414	Bit soon but yaa.	False	N/A	exclamation	neutral
1124434439	Lmfao totally forgot it was ur bday. Happy birthday xD	False	N/A	exclamation	nice
736687360	whats in that blue shit you made?	True	special	N/A	neutral
683995253	Lmfao totally forgot it was ur bday. Happy birthday xD	False	N/A	exclamation	nice
225351608	She ate dinner just going to catch bus	False	N/A	command	sad
973962802	ive asked so many times ima write it down this time.	False	N/A	exclamation	sad
884496080	She ate dinner just going to catch bus	False	N/A	command	sad
157213132	Ok I'm gonna bring her home.	False	N/A	command	happy
2023028630	thank you. ok, and sounds good. fucking dinos	False	N/A	exclamation	happy
1511309735	Ok I'm gonna bring her home.	False	N/A	command	happy
1761701147		False	N/A	command	love
1179574931	And any blanket with a dinosaur on it	False	N/A	command	happy
1566891888		False	N/A	command	love
515271114	Sorry I just got out of work. I'm going to catch bus.	False	N/A	exclamation	sad
427105814	That should be fine !	False	N/A	statement	neutral
796764851	Sorry I just got out of work. I'm going to catch bus.	False	N/A	exclamation	sad
374186503	would you mind if i took ava out saturday?	True	general	N/A	love
1899813259	I'm gonna grab booboo soon.	False	N/A	exclamation	mean
938771902	I'm gonna grab booboo soon.	False	N/A	exclamation	mean
1952517196	does ava have like a favorite kind of blanket?	True	special	N/A	happy
511655581	whats in that blue shit you made?	True	special	N/A	neutral
1157297645	whats in that blue shit you made?	True	special	N/A	neutral
794730056	its going to be so fucking noisy when Ava starts coming to.	False	N/A	exclamation	angry
319693645	ive asked so many times ima write it down this time.	False	N/A	exclamation	sad
268207744	ya really.	False	N/A	command	neutral
188230325	ive asked so many times ima write it down this time.	False	N/A	exclamation	sad
1007835844	thank you. ok, and sounds good. fucking dinos	False	N/A	exclamation	happy
1788372581	Then you can nap	True	general	N/A	happy
457429249	thank you. ok, and sounds good. fucking dinos	False	N/A	exclamation	happy
987914040	And any blanket with a dinosaur on it	False	N/A	command	happy
1548173416	Easier as they get older	False	N/A	command	mean
2039798608	And any blanket with a dinosaur on it	False	N/A	command	happy
224809629	That should be fine !	False	N/A	statement	neutral
1975723513	omg right	False	N/A	command	disgust
965329721	That should be fine !	False	N/A	statement	neutral
1870187642	would you mind if i took ava out saturday?	True	general	N/A	love
476917446	Hahahaha between work and the girls not much	False	N/A	statement	happy
1213885045	would you mind if i took ava out saturday?	True	general	N/A	love
760404515	does ava have like a favorite kind of blanket?	True	special	N/A	happy
1648995710	*still a tool	False	N/A	command	angry
1877296643	does ava have like a favorite kind of blanket?	True	special	N/A	happy
1593371192	its going to be so fucking noisy when Ava starts coming to.	False	N/A	exclamation	angry
1775723832	its been a couple weeks since ive slept properly. anywasy sorry to bother you.	False	N/A	statement	happy
1349727247	its going to be so fucking noisy when Ava starts coming to.	False	N/A	exclamation	angry
1795814479	ya really.	False	N/A	command	neutral
694799910	at home ya	False	N/A	statement	neutral
717494300	Thats good!	False	N/A	statement	disgust
646525698	Hope she had fun	True	special	N/A	nice
482570188	was mike there ?	True	general	N/A	nice
366666985	i just dropped her off	False	N/A	exclamation	sad
972148365	lol didnt think so.	False	N/A	command	mean
809751698	Hope she had fun	True	special	N/A	nice
179684583	lol didnt think so.	False	N/A	command	mean
895416233	Did mike get her ?	True	special	N/A	mean
727249036	But its all good thank you !	True	disjunctive	N/A	happy
1864311174	But its all good thank you !	True	disjunctive	N/A	happy
1272179979	No	False	N/A	command	disgust
1554494868	No	False	N/A	command	disgust
1993233195	Have you grabbed her ?	True	general	N/A	happy
1333427855	you guys ok?	True	general	N/A	happy
284329339	you guys ok?	True	general	N/A	happy
1395909179	i got ava from your parents and then i dropped her ff, mike is at home.	False	N/A	exclamation	happy
883908509	i got ava from your parents and then i dropped her ff, mike is at home.	False	N/A	exclamation	happy
940423885	at home ya	False	N/A	statement	neutral
1944791631	Yes thank you	False	N/A	command	love
690405251	at home ya	False	N/A	statement	neutral
938763341	i am leaving now. i can go grab ava if ts easier.	False	N/A	exclamation	mean
700115685	was mike there ?	True	general	N/A	nice
1343472710	was mike there ?	True	general	N/A	nice
1283898019	when you get a chance can you either share/email me a bunch? no rush.	True	special	N/A	happy
1460363576	i just dropped her off	False	N/A	exclamation	sad
478112031	i just dropped her off	False	N/A	exclamation	sad
1417408199	Yeah I do	False	N/A	exclamation	mean
1397413147	Did mike get her ?	True	special	N/A	mean
435147562	Did mike get her ?	True	special	N/A	mean
2124874765	i got her at 1ish sorry, forgot to bring my tablet.	False	N/A	exclamation	sad
422487267	Were getting her around 12:30/ 1 probably	False	N/A	statement	mean
45778084	lol sounds good. ill tty in a bit then.	False	N/A	exclamation	angry
1014681293	lol sounds good. ill tty in a bit then.	False	N/A	exclamation	angry
1998145208	Yeah sure, shes currently at my parents	False	N/A	command	love
418632916	Okay Ill let you know, mike is still sleeping currently	True	general	N/A	angry
